Date,AIZ,AVB,BMS,CFN,CPB,DISCA,EL,FHN,GME,HP,JCP,LIFE,MCP,MYL,NWL,PG,R,SHW,SYK,TWC,VZ
2010-01-14,26.832965876037,63.82561648333589,24.336709534782,25.99,27.033962400541053,16.255893153281214,22.845248934719,8.918143170820285,16.404550903028,40.783442487499,23.153699987474013,,,17.87,13.432600789248,48.56824408396844,34.3838201946,54.787008815747,50.44363559569682,39.557881241122,20.332256469508742
2010-01-15,26.206348310793,63.41842278297937,24.25553305201,25.59,26.503727179609196,16.61451670220327,22.781154047928,8.620871731792944,16.404550903028,39.868375539962,23.04683675676259,,,18.2,12.963111829624,47.96883087344853,33.815702820238,53.574145907882,50.45264017184743,39.310270933332,19.915451724457956
2010-01-19,26.463862378702,64.58411455262748,24.750709596914,26.05,26.551930381512086,16.599147121535182,22.886452790513,8.443773853223462,16.652619721562,40.187389705158,23.260563218185432,,,18.74,13.215244789422,48.33163360613164,34.019207551353,53.737067791028,51.29006575385382,40.112869862031,20.338769043650164
2010-01-20,26.00892085873,63.138976125871935,24.344827183059,26.78,26.4073207758034,16.471067282634447,22.451523201575,8.538647716742826,16.412553122981,39.692078238143,22.95778406450308,,,18.22,13.154385109471,48.024039984943784,33.586759997734,53.212097278668,50.36259441034136,39.754261830059,20.000115188296398
2010-01-21,26.867301085091,61.717790269725604,23.468121169131,27.17,26.206474101208,16.296878701729447,24.50713778508,8.595572034854445,16.340533143407,39.557756484376,22.646099641594773,,,17.9425,12.841392469721,47.53943015217595,32.772741073275,53.049175395522,49.2820452722686,38.31982970217,19.94801459516505
2010-01-22,27.322242605062,60.232730891954716,23.297650555311,27.55,26.33501597294906,15.825544894574747,24.342322361904,8.42479908051959,16.028446565251,37.324657328,22.50361533397955,,,17.78,12.58056526993,47.912818056111824,31.738258690108,52.497051235971,48.66072951787676,37.431847908715,19.75914994506391
2010-01-25,27.571172870707,61.14292857510461,23.313885851865,27.5,26.326982105965243,15.794805733238569,24.342322361904,8.361549838173346,15.948424365724,37.53453506826,22.405657372494083,,,17.68,12.641424949881,48.16703960772774,31.475398412418,53.329763083163,49.020912563901014,38.200293691513,19.98057746587214
2010-01-26,27.0303933281,61.42237523221205,23.167768182877,27.52,26.318948238981424,15.78455934612651,24.516294197479,8.127527641492247,15.716359987096,37.845154123847,22.405657372494083,,,18.09,12.545788309958,48.214706148655715,31.297331772693,56.868788433725,49.128967477708294,37.705073075932,19.648436184659797
2010-01-27,27.33941020959,61.757711220740944,23.33012114842,26.94,26.551930381512086,15.47716773276475,24.557498053273,8.374199686642594,15.956426585677,37.937500329561,22.254267795652904,,,18.25,12.397986230076,48.31003923051169,31.54323332279,57.810114869681,47.64321241285824,37.244005606254,19.45305896041724
2010-01-28,27.107647548472,61.45431199302432,23.094709348383,26.14,26.929522129751447,15.507906894100925,24.282805681312,8.247701201950107,15.892408826056,37.014038272413,22.093972949585776,,,17.93,12.345820790118,49.00120407396745,30.966636584631,57.547629613501,46.99488293001458,37.645305070604,19.101379956780637
2010-01-29,26.978890514518,61.16688114571382,22.778121065576,25.75,26.600133583414987,15.195392087183134,24.044738958946,8.190776883838488,15.820388846481,35.116743500455,22.11178348803768,,,18.23,11.798083670556,48.89792656862349,30.864884219074,57.339451651703,46.75175937394821,37.218390746827,19.159993124053404
2010-02-01,27.184901768845,62.3166045349558,22.932356382841,26.01,26.792946391026575,15.261993603411515,24.630749352462,8.076928247615252,15.948424365724,35.973044680719,22.44127844939789,,,18.12,11.858943350508,49.24748120209537,31.458439684825,58.488956049456,47.00388750616519,37.935606810772,19.283732032740357
2010-02-02,27.562589068443,63.5381856360254,23.362591741528,26.9,27.04199626752487,15.118544183842694,25.637954716318,8.064278399146003,16.188490964305,36.325639284358,22.97559460295498,,,18.2,12.38059775009,49.970423739503126,31.66194441594,59.339770328108,47.85932224047279,38.413750853401,19.361882922437378
2010-02-03,27.176317966581,62.14095235048828,23.046003458721,26.34,26.768844790075125,15.036573086946223,25.89891246968,7.944104838688141,16.412553122981,36.056995776824,23.126984179796157,,,18.01,12.284961110167,49.771813152303196,29.211408278766,58.154061067434,47.310043095285806,38.635746301765,19.010203918800777
2010-02-04,27.236404582426,59.18680197535264,22.356003355166,25.9,26.061864495499307,14.662579957356078,25.564703417128,7.868205747872649,16.08446210492,33.840686839668,22.39675210326813,,,17.78,11.789389430563,48.778760216303525,27.600329157441,57.79201243822,46.00437955344789,38.123449113233,18.645499766881336
2010-02-05,26.541116599074,60.35249374500076,22.59953280348,25.98,26.085966096450758,14.58060886045961,25.363262344357,7.982054384095886,16.124473204684,33.8658721685,21.773383257451524,,,17.89,11.615504630702,48.69931598142355,28.100611621431,57.837268516872,45.97736582499607,38.524748577583,18.71713808243694
2010-02-08,25.88874762704,58.89937112804214,22.469650431046,25.84,26.26271117009471,14.606224828239755,25.486873911739,7.950429762922766,15.75637108686,33.588833551355,21.63980421906225,,,17.76,11.806777910549,48.468927700271635,27.702081522998,57.203683415748,46.3105351425685,37.798994227163,18.476172839204455
2010-02-09,26.069007474576,58.699766372965406,22.745650472468,26.25,26.768844790075125,14.995587538497988,25.752409871301,8.108552868788374,15.060177950975,34.151305895255,22.04054133423007,,,17.68,12.032828150368,49.06475946187143,28.321075080139,57.719602712377,46.7427547977976,38.447903999303,18.72365065657836
2010-02-10,25.862996220249,58.45225647667026,22.656356341419,26.45,26.768844790075125,14.283463634209904,25.665423953514,8.323600292765601,15.34025564932,34.461924950841,21.844625411259138,,,17.61,11.858943350508,48.99325965047946,28.159967168007,57.00455666968,46.48162208943002,38.533286864059,18.801801546275385
2010-02-11,25.545395536496,59.24269130677413,22.96482697595,25.8,26.961657597686713,14.350065150438287,26.03625865566,8.146502414196119,15.492297828421,35.092326017015,22.076162411133875,,,18.29,11.971968470417,49.223647931631376,28.863754363112,57.683397849456,46.97687377771337,38.763820598898,18.9125153066795
