,Date,Unix,Ticker,Price,stock_p_change,SP500,sp500_p_change,Difference,DE Ratio,Trailing P/E,Price/Sales,Price/Book,Profit Margin,Operating Margin,Return on Assets,Return on Equity,Revenue Per Share,Market Cap,Enterprise Value,Forward P/E,PEG Ratio,Enterprise Value/Revenue,Enterprise Value/EBITDA,Revenue,Gross Profit,EBITDA,Net Income Avl to Common ,Diluted EPS,Earnings Growth,Revenue Growth,Total Cash,Total Cash Per Share,Total Debt,Current Ratio,Book Value Per Share,Cash Flow,Beta,Held by Insiders,Held by Institutions,Shares Short (as of,Short Ratio,Short % of Float,Shares Short (prior ,Status
72,2005-04-18 15:16:59,1113851819.0,ctxs,22.22,15.069911962713622,1142.619995,0.9336995311591628,14.136212431554458,1.247,29.63,5.08,4.09,17.75,20.48,10.76,15.72,4.242,3770000000.0,3530000000.0,18.67,1.82,4.76,22.35,4.76,714730000.0,22.35,131550000.00000001,0.75,3.60,25.90,233140000.0,1.38,1.247,1.247,5.428,265279999.99999997,2.615,0.82,77.33,3740000.0,1.5,2.22,3480000.0,outperform
73,2011-10-08 05:35:10,1318066510.0,dds,44.21,181.0553083280356,919.2100220000001,-10.661769093020615,191.71707742105622,49.62,12.30,0.36,1.17,3.45,6.24,5.74,10.63,105.65,3040000000.0,3040000000.0,9.72,2.01,0.48,4.62,0.48,2280000000.0,4.62,218200000.0,3.59,157.20,3.80,179520000.0,3.49,958050000.0,1.95,37.52,3040000000.0,2.72,61.01,60.40,7020000.0,4.90,18.60,7030000.0,outperform
74,2013-05-10 01:45:27,1368164727.0,dds,86.15,447.67959313413866,1157.439941,12.491850866720199,435.18774226741846,41.83,12.54,0.61,2.10,4.98,7.98,8.06,16.70,140.29,4690000000.0,4690000000.0,11.19,2.15,0.69,5.87,0.69,2500000000.0,5.87,335960000.0,6.87,14.10,7.10,124060000.0,2.62,824020000.0,1.94,41.24,522700000.00000006,1.26,11.31,91.20,1650000.0,4.30,6.00,1840000.0,outperform
75,2012-06-10 08:23:21,1339331001.0,dhi,15.97,-57.57173219978746,1223.119995,18.31645059700997,-75.88818279679742,64.99,38.21,1.25,1.83,3.35,4.79,2.14,5.00,12.50,5880000000.0,5880000000.0,17.55,4.70,1.48,28.05,1.48,613500000.0,28.05,132699999.99999999,0.42,46.00,28.00,961300000.0,3.02,1760000000.0,7.30,8.48,46600000.0,1.49,12.55,90.50,39230000.0,4.30,17.20,36620000.0,underperform
76,2013-05-16 16:55:48,1368737748.0,dhi,26.56,-29.436769394261432,2046.609985,97.97536641660398,-127.41213581086541,87.43,9.16,1.70,2.36,20.52,8.31,3.93,33.05,16.21,10890000000.0,10890000000.0,15.72,2.91,2.10,24.17,2.10,861600000.0,24.17,1070000000.0000001,2.92,173.40,48.90,1130000000.0,3.50,3270000000.0,7.39,11.61,1060000000.0,1.77,12.47,89.80,32890000.0,5.30,13.80,30700000.0,underperform
77,2012-01-23 08:13:39,1327324419.0,dlx,23.41,-34.936075597554186,1315.380005,11.908182417302724,-46.84425801485691,273.70,8.67,0.85,4.20,9.95,19.70,12.73,57.47,27.44,1940000000.0,1940000000.0,7.34,1.20,1.38,5.51,1.38,913820000.0,5.51,138850000.0,2.70,27.70,3.40,24960000.0,0.49,775590000.0,0.74,5.58,213380000.0,2.10,0.98,78.30,5520000.0,15.30,12.20,5490000.0,underperform
78,2012-10-22 11:20:43,1350919243.0,dlx,29.65,-17.59310728182323,1433.189941,21.93106231386826,-39.52416959569149,206.77,9.36,1.02,4.17,11.08,20.67,13.78,52.17,28.94,2190000000.0,2190000000.0,8.40,1.19,1.49,5.90,1.49,924190000.0,5.90,161830000.0,3.17,19.10,7.10,47150000.0,0.93,742140000.0,0.77,7.10,231090000.0,1.27,1.10,86.80,6110000.0,16.00,13.90,6400000.0,underperform
79,2013-05-12 21:32:54,1368408774.0,dlx,39.01,8.421345191773211,1626.670044,38.391709866924614,-29.9703646751514,141.64,11.63,1.29,4.24,11.30,20.48,13.68,42.89,30.05,2570000000.0,2570000000.0,10.13,1.41,1.69,6.82,1.69,990540000.0,6.82,171090000.0,3.36,4.10,2.50,72860000.0,1.43,656930000.0,1.18,9.15,243550000.0,1.55,1.08,87.70,4470000.0,10.10,10.10,4019999.9999999995,underperform
80,2004-05-16 20:24:58,1084753498.0,dri,22.0,9.725685785536156,2045.1700440000002,45.39812874275211,-35.67244295721595,0.52,15.77,0.72,2.71,4.90,7.24,8.63,19.09,28.448,3540000000.0,4170000000.0,13.50,1.09,0.86,6.9,0.86,1020000000.0,6.9,238860000.0,1.395,2.30,6.60,43870000.0,0.27,668910000.0,0.571,7.986,474720000.0,0.403,8.56,73.34,6420000.0,4.343,4.36,6050000.0,underperform
81,2004-06-21 00:26:39,1087791999.0,dri,21.36,6.5336658354114645,1135.02002,-19.307547322181957,25.841213157593423,0.52,15.31,0.70,2.65,4.90,7.24,8.63,19.09,28.448,3440000000.0,4059999999.9999995,13.02,1.07,0.83,6.73,0.83,1020000000.0,6.73,238860000.0,1.395,2.30,6.60,43870000.0,0.27,668910000.0,0.571,7.986,474720000.0,0.393,8.56,78.71,6070000.0,5.64,4.13,6420000.0,outperform
82,2004-09-26 10:44:02,1096209842.0,dri,23.13,15.361596009975054,1108.359985,-21.20290033333542,36.56449634331047,0.527,16.46,0.71,2.79,4.68,6.89,8.37,18.54,29.93,3650000000.0,4280000000.0000005,12.78,1.08,0.85,7.12,0.85,1110000000.0,7.12,234990000.0,1.405,0.30,7.50,38600000.0,0.24,670470000.0,0.532,8.073,525409999.99999994,0.362,8.49,74.16,3040000.0,3.306,2.11,3930000.0,outperform
83,2004-12-05 09:19:23,1102256363.0,dri,27.41,36.70822942643392,1187.76001,-15.558081169766776,52.2663105962007,0.527,19.51,0.85,3.37,4.68,6.89,8.37,18.54,29.93,4310000000.0,4940000000.0,14.98,1.32,0.98,8.22,0.98,1110000000.0,8.22,234990000.0,1.405,0.30,7.50,38600000.0,0.25,670470000.0,0.532,8.093,489140000.0,0.454,8.28,76.23,2810000.0,3.176,1.95,4800000.0,outperform
84,2005-04-10 22:08:52,1113185332.0,dri,30.81,53.665835411471306,1173.599976,-16.564766385293897,70.2306017967652,0.506,19.79,0.94,3.79,4.88,7.08,8.92,20.60,31.858,4890000000.0,5390000000.0,15.80,1.37,1.03,8.58,1.03,1100000000.0,8.58,256040000.00000003,1.56,2.20,7.50,87780000.0,0.56,651300000.0,0.457,8.186,626440000.0,0.141,8.28,76.82,3230000.0,3.223,2.25,4110000.0000000005,outperform
85,2005-05-26 19:15:45,1117149345.0,dri,32.72,63.19201995012468,1193.859985,-15.124413097530148,78.31643304765483,0.506,21.01,0.97,3.94,4.88,7.08,8.92,20.60,31.858,5130000000.0,5640000000.0,16.69,1.45,1.08,8.98,1.08,1100000000.0,8.98,256040000.00000003,1.56,2.20,7.50,87780000.0,0.56,651300000.0,0.457,8.22,591040000.0,0.152,8.28,79.72,2600000.0,1.949,1.81,2280000.0,outperform
86,2013-04-22 06:49:20,1366627760.0,dri,48.89,143.84039900249377,1555.25,10.568038286387688,133.27236071610608,142.15,14.91,0.76,3.25,5.17,8.25,6.66,23.12,64.69,9010000000.0,9010000000.0,15.37,2.84,1.08,8.48,1.08,1840000000.0,8.48,430800000.0,3.28,18.10,4.60,107100000.0,0.83,2770000000.0,0.56,15.02,901300000.0,0.70,0.69,82.50,8790000.0,4.90,7.80,8850000.0,outperform
87,2013-05-13 07:51:51,1368445911.0,dri,53.56,167.13216957605988,1633.77002,16.150294886682122,150.98187468937775,142.15,16.33,0.84,3.56,5.17,8.25,6.66,23.12,64.69,9620000000.0,9620000000.0,16.84,3.07,1.16,9.05,1.16,1840000000.0,9.05,430800000.0,3.28,18.10,4.60,107100000.0,0.83,2770000000.0,0.56,15.02,901300000.0,0.70,0.69,82.50,7960000.0,4.40,7.10,8109999.999999999,outperform
