,Date,Unix,Ticker,Price,stock_p_change,SP500,sp500_p_change,Difference,DE Ratio,Trailing P/E,Price/Sales,Price/Book,Profit Margin,Operating Margin,Return on Assets,Return on Equity,Revenue Per Share,Market Cap,Enterprise Value,Forward P/E,PEG Ratio,Enterprise Value/Revenue,Enterprise Value/EBITDA,Revenue,Gross Profit,EBITDA,Net Income Avl to Common ,Diluted EPS,Earnings Growth,Revenue Growth,Total Cash,Total Cash Per Share,Total Debt,Current Ratio,Book Value Per Share,Cash Flow,Beta,Held by Insiders,Held by Institutions,Shares Short (as of,Short Ratio,Short % of Float,Shares Short (prior ,Status
97,N/A,N/A,sbux,N/A,N/A,N/A,N/A,N/A,70.70,30.31,4.04,15.83,13.47,18.02,18.51,1.0,15.06,88750000000.0,N/A,25.33,1.93,N/A,N/A,N/A,12800000000.0,1.0,N/A,2.02,13.50,6.00,2390000000.0,1.65,3970000000.0,1.23,3.87,4330000000.0,1.0,2.79,72.60,N/A,1.49,0.98,15240000.0,N/A
98,N/A,N/A,sd,N/A,N/A,N/A,N/A,N/A,4.49,4.75,1.72,0.76,377.08,11.09,1.47,1.0,1.05,671110000.0,N/A,12.73,2.55,N/A,N/A,N/A,237660000.0,1.0,N/A,3.94,N/A,7.40,4.43,4.43,37520000.0,1.25,24.50,180400000.0,1.0,N/A,N/A,N/A,4.37,0.11,836.62,N/A
99,N/A,N/A,shw,N/A,N/A,N/A,N/A,N/A,94.62,27.26,2.69,15.59,10.02,15.26,17.63,1.0,130.75,32400000000.0,N/A,22.48,2.23,N/A,N/A,N/A,5920000000.0,1.0,N/A,12.76,45.00,7.30,1020000000.0,1950000000.0,1950000000.0,1.32,22.32,1600000000.0,1.0,17.39,68.40,N/A,2.23,1.35,1130000.0,N/A
100,N/A,N/A,slb,N/A,N/A,N/A,N/A,N/A,46.34,50.52,3.42,2.37,6.77,7.39,1.79,1.0,20.25,96300000000.0,N/A,23.26,0.87,N/A,N/A,N/A,3700000000.0,1.0,N/A,1.37,44.30,5.70,7350000000.0,5.29,19020000000.0,1.59,29.22,5710000000.0,1.0,0.06,78.00,N/A,2.79,1.23,16810000.0,N/A
101,N/A,N/A,sni,N/A,N/A,N/A,N/A,N/A,125.91,15.29,2.58,4.11,16.94,39.99,13.39,1.0,26.52,8880000000.0,N/A,11.90,1.08,N/A,N/A,N/A,2210000000.0,1.0,N/A,4.47,31.30,4.70,107670000.0,0.83,3050000000.0,2.39,16.63,927420000.0,1.0,21.54,96.70,N/A,5.9,11.78,10070000.0,N/A
102,N/A,N/A,srcl,N/A,N/A,N/A,N/A,N/A,98.99,41.25,1.88,2.34,5.24,14.98,4.75,1.0,42.09,6750000000.0,N/A,16.35,2.24,N/A,N/A,N/A,1500000000.0,1.0,N/A,1.92,24.20,2.10,47020000.0,0.55,2860000000.0,1.31,33.79,565620000.0,1.0,1.22,90.80,N/A,6.51,8.29,N/A,N/A
103,N/A,N/A,stx,N/A,N/A,N/A,N/A,N/A,325.31,17.09,1.12,7.66,6.61,11.41,8.68,1.0,37.13,12320000000.0,N/A,9.01,0.54,N/A,N/A,N/A,2620000000.0,1.0,N/A,2.43,N/A,3.00,3030000000.0,10.2,5230000000.0,1.96,5.42,1940000000.0,1.0,11.39,88.70,N/A,3.91,10.48,25990000.0,N/A
104,N/A,N/A,syk,N/A,N/A,N/A,N/A,N/A,74.39,31.60,4.46,5.42,14.33,22.38,8.20,1.0,31.50,52560000000.0,N/A,19.95,2.28,N/A,N/A,N/A,7500000000.0,1.0,N/A,4.45,10.40,18.40,3330000000.0,8.9,7220000000.0,3.09,25.96,1700000000.0,1.0,8.29,76.00,N/A,4.85,1.62,5500000.0,N/A
105,N/A,N/A,tdc,N/A,N/A,N/A,N/A,N/A,58.81,21.87,1.62,3.81,7.45,12.35,7.07,1.0,17.45,3670000000.0,N/A,21.57,6.88,N/A,N/A,N/A,1190000000.0,1.0,N/A,1.28,N/A,9.90,1160000000.0,58.81,58.81,2.04,7.36,403500000.0,1.0,0.69,100.40,N/A,11.05,18.45,17060000.0,N/A
106,N/A,N/A,tgt,N/A,N/A,N/A,N/A,N/A,116.17,11.86,0.46,2.90,4.02,7.04,7.91,1.0,122.44,31930000000.0,N/A,13.84,3.07,N/A,N/A,N/A,20620000000.0,1.0,N/A,4.88,7.80,1.10,2680000000.0,4.86,12800000000.0,0.95,19.98,6490000000.0,1.0,0.11,88.40,N/A,3.71,6.24,35890000.0,N/A
107,N/A,N/A,tm,N/A,N/A,N/A,N/A,N/A,105.35,9.88,0.64,1.01,6.64,7.23,2.59,1.0,164.99,158180000000.0,N/A,N/A,N/A,N/A,N/A,N/A,51580000000.0,1.0,N/A,10.78,6.60,6.80,42980000000.0,28.9,172250000000.0,1.03,105.89,30700000000.0,1.0,N/A,N/A,N/A,3.69,0.00,1100000.0,N/A
108,N/A,N/A,trv,N/A,N/A,N/A,N/A,N/A,27.27,12.36,1.27,1.49,10.59,14.88,2.55,1.0,97.57,35110000000.0,N/A,12.81,14.26,N/A,N/A,N/A,12550000000.0,1.0,N/A,10.17,10.70,3.80,5070000000.0,18.13,6440000000.0,0.38,84.51,4130000000.0,1.0,0.44,84.30,N/A,4.33,2.27,5480000.0,N/A
109,N/A,N/A,tsla,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5.0,5.0,5.0,1.0,5.0,5.0,5.0,N/A,5.0,N/A,N/A,1.2,5.0,1.0,N/A,5.0,5.0,5.0,5.0,2.6,5.0,5.0,5.0,5.0,1.0,5.0,5.0,N/A,5.0,5.0,5.0,N/A
110,N/A,N/A,twc,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5.0,5.0,5.0,5.0,5.0,5.0,5.0,N/A,5.0,N/A,N/A,1.2,5.0,5.0,N/A,5.0,5.0,5.0,5.0,1.2,5.0,5.0,5.0,5.0,5.0,5.0,5.0,N/A,5.0,5.0,5.0,N/A
111,N/A,N/A,ua,N/A,N/A,N/A,N/A,N/A,42.63,53.54,1.97,4.62,4.81,7.97,7.18,1.0,11.18,9630000000.0,N/A,40.77,9.33,N/A,N/A,N/A,2240000000.0,1.0,N/A,0.4,N/A,6.60,172130000.0,0.39,861050000.0,3.04,4.59,398460000.0,1.0,N/A,N/A,N/A,3.92,0.00,13320000.0,N/A
112,N/A,N/A,urbn,N/A,N/A,N/A,N/A,N/A,N/A,10.61,0.60,1.59,5.66,9.01,10.66,1.0,30.39,2109999999.9999998,N/A,11.36,1.82,N/A,N/A,N/A,1240000000.0,1.0,N/A,1.71,59.60,0.20,370980000.0,3.2,N/A,2.62,11.46,357830000.0,1.0,26.45,80.30,N/A,4.01,16.07,11610000.0,N/A
113,N/A,N/A,var,N/A,N/A,N/A,N/A,N/A,42.28,32.93,2.88,7.27,9.00,16.67,9.70,1.0,34.71,9380000000.0,N/A,23.25,2.65,N/A,N/A,N/A,1360000000.0,1.0,N/A,3.1,42.20,6.50,705500000.0,7.68,546500000.0,1.52,14.04,361600000.0,1.0,0.24,98.80,N/A,9.96,8.87,8580000.0,N/A
114,N/A,N/A,vmc,N/A,N/A,N/A,N/A,N/A,51.53,41.56,4.74,3.80,11.70,18.23,4.86,1.0,27.28,17170000000.000002,N/A,23.66,1.41,N/A,N/A,N/A,948120000.0,1.0,N/A,3.13,11.90,4.30,286960000.0,2.17,2330000000.0,3.21,34.19,650010000.0,1.0,0.30,90.20,N/A,1.85,2.47,2890000.0,N/A
115,N/A,N/A,vz,N/A,N/A,N/A,N/A,N/A,466.68,15.78,1.56,8.19,9.92,21.61,6.80,1.0,30.30,192510000000.0,N/A,12.35,5.07,N/A,N/A,N/A,74560000000.0,1.0,N/A,2.99,20.00,7.30,4310000000.0,1.06,116840000000.0,1.02,5.76,16899999999.999998,1.0,0.01,64.50,N/A,1.92,0.67,27320000.0,N/A
116,N/A,N/A,wfc,N/A,N/A,N/A,N/A,N/A,N/A,13.52,3.19,1.51,25.85,40.18,1.16,1.0,16.84,270310000000.0,N/A,12.05,1.57,N/A,N/A,N/A,N/A,1.0,N/A,0.10,0.10,1.40,408680000000.0,81.78,363800000000.0,N/A,35.73,7450000000.0,1.0,0.10,77.50,N/A,1.83,0.70,33610000.0,N/A
117,N/A,N/A,wlp,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5.0,5.0,5.0,5.0,5.0,5.0,5.0,N/A,5.0,N/A,N/A,1.2,5.0,5.0,N/A,5.0,5.0,5.0,5.0,1.2,5.0,5.0,5.0,5.0,5.0,5.0,5.0,N/A,5.0,5.0,5.0,N/A
118,N/A,N/A,wpx,N/A,N/A,N/A,N/A,N/A,60.99,6.32,3.96,0.99,49.75,45.45,3.54,1.0,2.93,3950000000.0,N/A,49.70,610.33,N/A,N/A,N/A,1.57,1.0,N/A,1.57,N/A,62.30,0.36,0.36,2580000000.0,0.73,10.03,810120000.0,1.0,9.54,68.70,N/A,4.15,10.12,27800000.0,N/A
119,N/A,N/A,wynn,N/A,N/A,N/A,N/A,N/A,782.57,49.51,2.70,60.25,5.41,12.89,3.55,1.0,48.69,13330000000.0,N/A,22.50,3.43,N/A,N/A,N/A,1690000000.0,1.0,N/A,2.63,34.00,47.90,2680000000.0,26.31,9810000000.0,2.04,2.16,1270000000.0,1.0,31.89,75.70,N/A,2.98,9.88,7730000.0,N/A
120,N/A,N/A,xom,N/A,N/A,N/A,N/A,N/A,23.73,34.60,1.67,1.98,4.76,2.18,0.84,1.0,50.37,351400000000.0,N/A,18.03,0.56,N/A,N/A,N/A,82510000000.0,1.0,N/A,2.4,121.50,31.80,4900000000.0,1.16,43610000000.0,0.81,41.81,25440000000.0,1.0,0.13,50.10,N/A,1.92,0.63,28840000.0,N/A
121,N/A,N/A,xray,N/A,N/A,N/A,N/A,N/A,19.00,40.38,3.71,1.77,9.42,13.38,2.78,1.0,16.71,14380000000.0,N/A,19.61,2.73,N/A,N/A,N/A,820800000.0,1.0,N/A,1.55,52.20,16.60,363300000.0,1.59,1550000000.0,2.30,35.46,645200000.0,1.0,N/A,N/A,N/A,4.86,2.85,6790000.0,N/A
