,Date,Unix,Ticker,Price,stock_p_change,SP500,sp500_p_change,Difference,DE Ratio,Trailing P/E,Price/Sales,Price/Book,Profit Margin,Operating Margin,Return on Assets,Return on Equity,Revenue Per Share,Market Cap,Enterprise Value,Forward P/E,PEG Ratio,Enterprise Value/Revenue,Enterprise Value/EBITDA,Revenue,Gross Profit,EBITDA,Net Income Avl to Common ,Diluted EPS,Earnings Growth,Revenue Growth,Total Cash,Total Cash Per Share,Total Debt,Current Ratio,Book Value Per Share,Cash Flow,Beta,Held by Insiders,Held by Institutions,Shares Short (as of,Short Ratio,Short % of Float,Shares Short (prior ,Status
112,2012-07-07 23:16:05,1341717365.0,cvs,48.12,50.093574547722994,1504.660034,49.48240662321831,0.6111679245046844,24.19,18.24,0.55,1.63,3.14,5.73,6.24,9.35,84.86,68860000000.0,68860000000.0,12.97,1.22,0.61,8.56,0.61,20560000000.0,8.56,3560000000.0,2.64,8.80,19.90,2220000000.0,1.73,9210000000.0,1.48,29.50,6780000000.0,0.84,0.22,87.60,14360000.0,1.90,1.10,12960000.0,outperform
113,2012-07-22 06:29:22,1342952962.0,cvs,45.08,40.61135371179038,1376.51001,36.75117593756085,3.860177774229527,24.19,17.09,0.52,1.54,3.14,5.73,6.24,9.35,84.86,64970000000.0,64970000000.0,12.09,1.15,0.58,8.07,0.58,20560000000.0,8.07,3560000000.0,2.64,8.80,19.90,2220000000.0,1.73,9210000000.0,1.48,29.50,6780000000.0,0.84,0.22,87.60,13980000.0,1.90,1.10,14360000.0,outperform
114,2012-10-14 13:49:01,1350236941.0,cvs,47.08,46.849656893325,2026.140015,101.28951308199872,-54.43985618867372,24.83,16.83,0.52,1.60,3.15,5.71,6.34,9.73,89.41,67680000000.00001,67680000000.00001,12.42,1.09,0.58,8.15,0.58,20560000000.0,8.15,3710000000.0,2.80,18.40,16.30,1830000000.0,1.44,9410000000.0,1.47,29.83,6800000000.0,0.85,0.22,87.30,23690000.0,4.40,1.80,13250000.0,underperform
115,2013-05-08 10:17:28,1368022648.0,cvs,58.54,82.59513412351839,1403.040039,39.38683614856622,43.208297974952174,25.29,18.23,0.58,1.88,3.30,6.11,7.12,10.65,98.15,80110000000.0,80110000000.0,13.21,1.09,0.65,8.56,0.65,22510000000.0,8.56,4059999999.9999995,3.21,23.20,0.10,1560000000.0,1.27,9660000000.0,1.50,31.12,5520000000.0,1.02,0.23,86.00,11520000.0,1.70,0.90,10590000.0,outperform
116,2011-10-08 05:35:10,1318066510.0,dds,44.21,181.0553083280356,919.2100220000001,-10.661769093020615,191.71707742105622,49.62,12.30,0.36,1.17,3.45,6.24,5.74,10.63,105.65,3040000000.0,3040000000.0,9.72,2.01,0.48,4.62,0.48,2280000000.0,4.62,218200000.0,3.59,157.20,3.80,179520000.0,3.49,958050000.0,1.95,37.52,3040000000.0,2.72,61.01,60.40,7020000.0,4.90,18.60,7030000.0,outperform
117,2013-05-10 01:45:27,1368164727.0,dds,86.15,447.67959313413866,1157.439941,12.491850866720199,435.18774226741846,41.83,12.54,0.61,2.10,4.98,7.98,8.06,16.70,140.29,4690000000.0,4690000000.0,11.19,2.15,0.69,5.87,0.69,2500000000.0,5.87,335960000.0,6.87,14.10,7.10,124060000.0,2.62,824020000.0,1.94,41.24,522700000.00000006,1.26,11.31,91.20,1650000.0,4.30,6.00,1840000.0,outperform
118,2004-05-21 12:48:29,1085158109.0,dg,17.65,0.0,1091.48999,0.0,0.0,0.179,19.74,0.86,3.76,4.38,7.44,12.24,21.18,20.438,5940000000.0,5820000000.0,14.71,0.98,0.85,8.77,0.85,2020000000.0,8.77,301000000.0,0.894,13.60,12.60,398280000.0,1.18,282010000.0,2.221,4.691,518549999.99999994,1.049,13.10,66.65,1620000.0,0.563,0.55,1650000.0,underperform
119,2004-09-18 12:11:17,1095523877.0,dg,20.23,14.617563739376783,1120.369995,2.6459248609325297,11.971638878444253,0.179,21.27,0.92,4.31,4.42,7.31,12.36,21.30,21.531,6640000000.0,6920000000.0,17.00,1.13,0.96,10.07,0.96,2020000000.0,10.07,319900000.0,0.951,13.60,12.60,101460000.0,0.31,274960000.0,2.032,4.686,572480000.0,1.013,0.46,70.12,5310000.0,4.482,1.62,4160000.0,outperform
120,2004-11-08 17:31:21,1099953081.0,dg,20.36,15.354107648725218,1332.829956,22.111056281881247,-6.7569486331560284,0.179,21.43,0.94,4.40,4.42,7.31,12.36,21.30,21.493,6690000000.0,6940000000.0,17.11,1.15,0.96,10.1,0.96,2020000000.0,10.1,319900000.0,0.95,13.60,12.60,101460000.0,0.31,274960000.0,2.032,4.686,572480000.0,1.055,0.46,71.42,6660000.0,3.792,2.04,7030000.0,underperform
121,2004-12-26 11:27:15,1104078435.0,dg,20.09,13.824362606232302,1210.130005,10.869546774313518,2.9548158319187845,0.213,21.49,0.89,4.20,4.21,6.89,11.68,20.38,22.216,6580000000.0,6870000000.0,17.32,1.15,0.93,10.2,0.93,2020000000.0,10.2,313130000.0,0.935,13.60,12.60,45830000.0,0.14,335900000.0,2.029,4.814,368550000.0,1.17,0.45,72.55,4880000.0,2.368,1.50,5100000.0,outperform
122,2005-02-05 02:44:47,1107589487.0,dg,22.5,27.478753541076493,1162.160034,6.47463968038772,21.004113860688772,0.213,24.06,0.98,4.63,4.21,6.89,11.68,20.38,22.216,7370000000.0,7590000000.0,19.40,1.28,1.02,11.27,1.02,2020000000.0,11.27,313130000.0,0.94,13.60,12.60,45830000.0,0.14,335900000.0,2.029,4.814,368550000.0,1.23,0.45,73.09,5500000.0,3.854,1.69,4880000.0,outperform
123,2005-02-07 15:46:20,1107809180.0,dg,22.6,28.045325779036844,1495.920044,37.053024554077666,-9.007698775040822,0.213,24.17,0.99,4.67,4.21,6.89,11.68,20.38,22.216,7410000000.0,7660000000.0,19.48,1.29,1.03,11.37,1.03,2020000000.0,11.37,313130000.0,0.94,13.60,12.60,45830000.0,0.14,335900000.0,2.029,4.814,368550000.0,1.23,0.45,73.09,5500000.0,3.854,1.69,4880000.0,underperform
124,2012-01-06 22:54:44,1325908484.0,dg,40.87,131.55807365439094,1396.709961,27.96360697728432,103.59446667710662,60.10,20.33,1.00,3.11,4.94,9.96,9.21,16.65,41.30,16770000000.0,16770000000.0,15.14,1.00,1.19,10.01,1.19,4179999999.9999995,10.01,696720000.0,2.01,33.60,11.50,120340000.0,0.35,2740000000.0,1.52,13.31,1030000000.0,0.02,0.26,88.90,3670000.0,1.20,3.70,4370000.0,outperform
125,2012-09-13 04:01:09,1347523269.0,dg,49.72,181.69971671388103,1808.369995,65.67902697852502,116.02068973535602,60.20,19.04,1.04,3.39,5.70,10.18,10.13,19.41,46.28,19050000000.0,19050000000.0,14.89,0.94,1.22,10.15,1.22,4700000000.0,10.15,891230000.0,2.61,46.60,10.40,136830000.0,0.41,2900000000.0,1.65,14.42,1030000000.0,0.05,0.12,97.40,3960000.0,1.50,2.50,5040000.0,outperform
126,2012-10-15 00:22:11,1350274931.0,dg,49.25,179.03682719546745,2052.22998,88.02096206122788,91.01586513423958,60.20,18.86,1.06,3.44,5.70,10.18,10.13,19.41,46.28,19190000000.0,19190000000.0,14.75,0.95,1.23,10.22,1.23,4700000000.0,10.22,891230000.0,2.61,46.60,10.40,136830000.0,0.41,2900000000.0,1.65,14.42,1030000000.0,0.05,0.13,95.30,5590000.0,1.20,3.60,4350000.0,outperform
127,2012-10-25 15:10:42,1351192242.0,dg,47.33,168.1586402266289,1433.819946,31.36354516636474,136.79509506026417,60.20,18.08,1.01,3.28,5.70,10.18,10.13,19.41,46.28,18520000000.0,18520000000.0,14.13,0.91,1.19,9.86,1.19,4700000000.0,9.86,891230000.0,2.61,46.60,10.40,136830000.0,0.41,2900000000.0,1.65,14.42,1030000000.0,0.05,0.13,95.30,5590000.0,1.20,3.60,4350000.0,outperform
128,2013-05-18 11:06:51,1368889611.0,dg,54.08,206.40226628895184,1658.780029,51.97391127700585,154.428355011946,55.70,18.98,1.09,3.49,5.95,10.35,10.33,19.72,48.22,19900000000.0,19900000000.0,14.27,1.03,1.24,10.15,1.24,5090000000.0,10.15,952660000.0,2.85,8.50,0.50,145090000.0,0.44,2780000000.0,1.54,15.24,1130000000.0,0.12,0.15,97.90,5530000.0,1.60,2.00,6310000.0,outperform
129,2013-04-22 06:29:54,1366626594.0,disca,77.85,441.37691237830313,1555.25,24.36427893304404,417.0126334452591,83.32,31.38,6.24,4.45,21.02,42.21,9.53,14.92,11.93,32380000000.000004,32380000000.000004,18.36,1.07,7.22,16.22,7.22,3270000000.0,16.22,954000000.0,2.48,33.30,8.50,1300000000.0,3.55,5240000000.0,2.89,17.22,1100000000.0,1.16,1.48,102.10,12680000.0,7.70,10.90,11790000.0,outperform
130,2012-05-18 12:22:34,1337358154.0,dps,40.83,61.76703645007924,1330.660034,-4.150459114614262,65.9174955646935,119.43,14.95,1.46,3.83,10.01,17.39,7.13,25.33,27.48,11150000000.0,11150000000.0,12.84,2.16,1.88,8.95,1.88,3420000000.0,8.95,594000000.0,2.73,10.50,2.30,203000000.0,0.96,2700000000.0,0.89,10.67,384000000.0,0.05,0.14,91.50,9990000.0,4.20,4.70,10480000.0,outperform
131,2012-06-25 18:08:39,1340662119.0,dps,42.79,69.53248811410461,1335.02002,-3.8364024467285684,73.36889056083318,119.43,15.68,1.53,4.02,10.01,17.39,7.13,25.33,27.48,11580000000.0,11580000000.0,13.42,2.10,1.95,9.30,1.95,3420000000.0,9.30,594000000.0,2.73,10.50,2.30,203000000.0,0.96,2700000000.0,0.89,10.67,384000000.0,0.04,0.28,97.30,11010000.0,4.50,5.20,10170000.0,outperform
132,2013-05-11 10:07:02,1368281222.0,dps,49.0,94.13629160063392,1337.77002,-3.6383156095952227,97.77460721022915,124.92,16.34,1.65,4.43,10.53,18.24,7.77,28.14,28.83,12620000000.0,12620000000.0,14.71,2.04,2.10,9.62,2.10,3500000000.0,9.62,633000000.0,3.00,3.90,1.30,220000000.0,1.08,2800000000.0,1.06,10.98,843000000.0,0.22,0.29,99.80,6160000.0,4.50,3.40,6060000.0,outperform
133,2011-11-14 18:39:12,1321313952.0,duk,20.9,12.124463519313295,2039.680054,183.44637604601587,-171.3219125267026,87.83,15.12,1.96,1.23,12.89,20.61,3.11,8.21,10.76,45920000000.0,45920000000.0,14.72,3.63,3.21,9.24,3.21,5520000000.0,9.24,1840000000.0,1.38,29.60,0.50,2180000000.0,1.64,20110000000.0,1.23,17.11,45920000000.0,0.34,0.25,47.70,48480000.0,3.80,3.70,47890000.0,underperform
134,2012-01-01 06:25:29,1325417129.0,duk,22.0,18.02575107296137,1263.02002,75.51696249639674,-57.491211423435374,87.83,15.92,2.05,1.29,12.89,20.61,3.11,8.21,10.76,47250000000.0,47250000000.0,15.38,4.02,3.30,9.50,3.30,5520000000.0,9.50,1840000000.0,1.38,29.60,0.50,2180000000.0,1.64,20110000000.0,1.23,17.11,3880000000.0,0.31,0.25,47.70,48560000.0,4.30,3.70,52000000.0,underperform
135,2012-03-22 05:17:53,1332407873.0,duk,20.84,11.802575107296134,1409.75,95.9074551164243,-84.10488000912817,92.56,16.27,1.96,1.23,11.98,21.80,3.19,7.53,10.69,46770000000.0,46770000000.0,14.08,4.03,3.29,9.12,3.29,5610000000.0,9.12,1700000000.0,1.28,32.60,2.30,2300000000.0,1.73,21160000000.0,1.25,17.05,3670000000.0,0.18,0.24,49.10,56220000.0,4.10,4.20,55260000.0,underperform
136,2012-06-15 14:04:22,1339783462.0,duk,23.2,24.46351931330471,1324.180054,84.01613370815343,-59.55261439484872,90.38,20.73,2.18,1.36,10.49,22.51,3.31,6.55,10.65,50330000000.0,50330000000.0,15.51,4.61,3.54,9.56,3.54,5610000000.0,9.56,1480000000.0,1.12,42.30,0.90,1310000000.0,0.98,20680000000.0,1.38,17.03,3580000000.0,0.18,0.26,50.20,78750000.0,5.30,5.90,78860000.0,underperform
137,2013-03-14 19:51:58,1363305118.0,duk,69.91,275.0536480686695,1846.339966,156.57865864075572,118.47498942791375,99.23,22.76,2.57,1.20,9.23,23.11,3.14,5.47,33.38,88030000000.0,88030000000.0,15.19,4.04,4.60,12.43,4.60,7050000000.0,12.43,1730000000.0,3.07,51.00,65.20,1760000000.0,2.50,40720000000.0,1.01,58.04,5240000000.0,0.14,0.16,52.40,9450000.0,2.60,2.10,9640000.0,outperform
138,2013-04-25 02:58:20,1366873100.0,duk,74.72,300.85836909871244,1562.5,117.13452641916153,183.7238426795509,99.23,24.33,2.74,1.28,9.23,23.11,3.14,5.47,33.38,91340000000.0,91340000000.0,16.28,4.04,4.77,12.90,4.77,7050000000.0,12.90,1730000000.0,3.07,51.00,65.20,1760000000.0,2.50,40720000000.0,1.01,58.04,5240000000.0,0.17,0.16,52.40,7800000.0,3.10,1.10,7770000.0,outperform
