,Date,Unix,Ticker,Price,stock_p_change,SP500,sp500_p_change,Difference,DE Ratio,Trailing P/E,Price/Sales,Price/Book,Profit Margin,Operating Margin,Return on Assets,Return on Equity,Revenue Per Share,Market Cap,Enterprise Value,Forward P/E,PEG Ratio,Enterprise Value/Revenue,Enterprise Value/EBITDA,Revenue,Gross Profit,EBITDA,Net Income Avl to Common ,Diluted EPS,Earnings Growth,Revenue Growth,Total Cash,Total Cash Per Share,Total Debt,Current Ratio,Book Value Per Share,Cash Flow,Beta,Held by Insiders,Held by Institutions,Shares Short (as of,Short Ratio,Short % of Float,Shares Short (prior ,Status
0,2011-08-02 06:45:37,1312281937.0,a,40.79,11.296043656207368,894.73999,-21.791883949300885,33.087927605508256,54.36,16.18,2.38,3.71,14.46,14.80,6.94,27.00,17.77,13850000000.0,13850000000.0,12.44,0.63,2.25,11.89,2.25,2930000000.0,11.89,890000000.0,2.52,85.20,31.90,2980000000.0,8.55,2150000000.0,3.20,11.36,13850000000.0,1.55,0.25,82.10,4360000.0,1.20,1.40,5420000.0,outperform
1,2013-05-14 00:28:58,1368505738.0,a,43.04,17.435197817189636,1897.449951,65.85375374604789,-48.418555928858254,44.12,13.75,2.19,2.83,15.96,15.69,6.85,22.38,19.85,15060000000.0,15060000000.0,13.08,2.07,2.18,10.75,2.18,3600000000.0,10.75,1100000000.0,3.13,22.20,2.80,2450000000.0,7.06,2360000000.0,2.55,15.41,1320000000.0,1.66,0.23,83.20,4370000.0,1.20,1.30,3080000.0,underperform
2,2013-09-06 06:09:52,1378462192.0,a,47.68,30.095497953615286,1318.069946,15.210863996038354,14.884633957576932,56.39,17.74,2.32,3.31,13.73,14.04,5.98,19.41,19.80,15860000000.0,15860000000.0,15.09,2.16,2.32,11.93,2.32,3600000000.0,11.93,938000000.0,2.69,30.90,4.10,2330000000.0,7.04,2700000000.0,2.96,14.46,1260000000.0,1.81,0.23,83.50,2780000.0,1.20,0.80,3300000.0,outperform
3,2004-08-21 23:10:00,1093144200.0,adbe,46.09,21.16193480546794,1095.170044,-4.263326705540752,25.425261511008692,3.526,29.72,7.19,8.61,25.17,33.92,25.33,36.21,6.174,11050000000.0,9770000000.0,25.46,1.79,6.47,17.27,6.47,1200000000.0,17.27,380310000.0,1.551,39.20,11.20,1280000000.0,5.34,3.526,3.526,5.264,558160000.0,1.463,1.91,83.27,9150000.0,3.026,3.89,8100000.0,outperform
4,2004-11-12 17:19:37,1100297977.0,adbe,58.1,52.733964248159836,1368.709961,19.64876056373312,33.085203684426716,3.1,34.06,8.74,11.37,26.34,35.14,26.31,37.06,6.475,13860000000.0,12800000000.0,29.79,2.17,8.02,20.77,8.02,1200000000.0,20.77,420250000.0,1.706,39.20,11.20,1140000000.0,4.78,3.1,3.1,5.137,621520000.0,1.458,1.90,82.95,6930000.0,2.476,2.96,8310000.000000001,outperform
5,2005-02-07 16:20:07,1107811207.0,adbe,63.67,67.3764458464774,1495.920044,30.769106872193724,36.60733897428367,3.436,35.00,9.16,10.78,27.02,35.51,26.01,36.15,6.73,15190000000.0,14310000000.0,28.81,2.12,8.59,21.93,8.59,1560000000.0,21.93,450400000.0,1.82,39.20,11.20,1310000000.0,5.38,3.436,3.436,5.934,621520000.0,1.519,10.85,80.71,6930000.0,2.587,3.18,6620000.0,outperform
6,2005-04-05 04:12:22,1112688742.0,adbe,66.58,75.02628811777076,1175.650024,2.772005929986139,72.25428218778463,3.511,34.70,9.47,9.99,27.93,34.92,25.97,35.48,6.882,16200000000.0,14780000000.0,28.45,2.09,8.61,22.34,8.61,1560000000.0,22.34,479260000.0,1.92,69.10,28.70,1470000000.0,6.03,3.511,3.511,6.682,683740000.0,1.615,0.79,83.16,5780000.0,2.594,2.40,5350000.0,outperform
7,2011-04-24 04:02:44,1303632164.0,adbe,33.48,-11.987381703470037,1337.380005,16.909984262888837,-28.897365966358876,28.03,19.80,4.28,3.14,22.23,28.48,8.69,16.65,7.72,15770000000.0,15770000000.0,13.18,1.06,3.97,11.10,3.97,3400000000.0,11.10,882120000.0,1.69,84.50,19.70,2640000000.0,5.23,1520000000.0,3.40,10.74,15770000000.0,1.51,0.43,86.30,16149999.999999998,2.30,3.20,15260000.0,underperform
8,2011-08-05 04:11:46,1312531906.0,adbe,26.15,-31.25657202944269,1218.589966,6.525694428917568,-37.782266458360255,28.17,14.01,3.34,2.51,23.78,28.84,8.93,18.22,7.98,12410000000.0,12410000000.0,10.18,1.01,3.07,8.56,3.07,3400000000.0,8.56,962940000.0,1.87,54.40,8.50,2630000000.0,5.32,1520000000.0,3.23,10.92,12410000000.0,1.54,0.43,86.30,13350000.0,2.00,2.60,13890000.0,underperform
9,2012-03-24 12:13:07,1332605587.0,adbe,33.81,-11.119873817034692,1402.890015,22.636684385163875,-33.75655820219857,25.26,21.69,3.93,2.78,18.51,27.90,8.47,13.73,8.55,15450000000.0,15450000000.0,12.76,1.49,3.65,10.62,3.65,3780000000.0,10.62,783470000.0,1.56,21.10,1.70,2770000000.0,5.60,1510000000.0,3.14,12.12,1530000000.0,1.61,5.44,87.30,13180000.0,3.40,2.70,13930000.0,underperform
