,Date,Unix,Ticker,DE Ratio,Price,stock_p_change,SP500,sp500_p_change,Difference,Status
102,2004-11-14 23:16:50,1100492210.0,shw,0.559,45.44,4.772884482361079,1815.689941,64.53620306770694,-59.76331858534586,underperform
103,2004-12-10 15:43:02,1102711382.0,shw,0.559,43.96,1.360387364537707,1196.47998,8.423948665652677,-7.06356130111497,underperform
104,2005-05-04 09:33:31,1115213611.0,shw,0.448,43.94,1.3142725386211676,1121.530029,1.6320509527321565,-0.31777841411098895,underperform
105,2005-05-28 05:14:38,1117271678.0,shw,0.625,45.0,3.7583583121973776,1190.01001,7.8376457547186185,-4.079287442521241,underperform
106,2006-03-10 03:40:20,1141980020.0,shw,0.445,44.21,1.936822688494359,1102.829956,-0.06253298422260549,1.9993556727169643,outperform
107,2006-08-21 20:02:54,1156204974.0,shw,0.401,50.62,16.71662439474291,1302.300049,18.013268939153456,-1.2966445444105439,underperform
108,2007-03-19 07:36:53,1174304213.0,shw,0.439,65.71,51.51026054876642,1386.949951,25.684167560458043,25.826092988308375,outperform
109,2007-04-06 08:21:10,1175862070.0,shw,0.439,65.82,51.76389209130735,1437.77002,30.289436887606264,21.474455203701083,outperform
110,2003-11-17 22:43:47,1069127027.0,syk,0.088,80.65,0.0,1050.349976,0.0,0.0,underperform
111,2004-08-10 12:52:13,1092156733.0,syk,0.006,45.01,-44.19094854308742,1186.439941,12.956630466948296,-57.14757901003572,underperform
112,2004-11-29 12:48:14,1101750494.0,syk,0.007,44.44,-44.89770613763175,1182.650024,12.595806257246972,-57.49351239487872,underperform
113,2005-03-24 10:07:10,1111676830.0,syk,0.004,45.84,-43.161810291382515,1183.780029,12.703389922293868,-55.86520021367638,underperform
114,2005-05-28 11:06:27,1117292787.0,syk,0.003,48.91,-39.35523868567887,1190.01001,13.296523748385367,-52.65176243406424,underperform
115,2006-09-06 09:28:16,1157549296.0,syk,0.004,47.82,-40.70675759454433,1252.300049,19.226931747937698,-59.933689342482026,underperform
116,2007-03-29 13:17:26,1175188646.0,syk,0.004,65.68,-18.56168629882207,1437.5,36.859145317864986,-55.42083161668705,underperform
117,2008-03-14 17:14:22,1205529262.0,syk,0.003,60.69,-24.748915065096103,1320.650024,25.73428420776201,-50.483199272858116,underperform
118,2008-12-25 18:49:56,1230248996.0,syk,0.004,40.05,-50.34097954122754,871.6300050000001,-17.015278248552068,-33.325701292675475,underperform
